DATE,Incubator,Start Date,End Date,Tank Name,Male,Female,Spawn Type,Time Found,Cleavage,Day of Cycle,Total # of tanks,Notes
02-26-2020,ORANGE,09-25-2019,NA,O_CC7_CC7_092519,CC7,NA,sperm,9:30,,9,14,
02-26-2020,ORANGE,11-20-2019,NA,O_CC7x3_112019,CC7,NA,sperm,9:30,,9,14,
02-26-2020,ORANGE,01-16-2020,NA,O_CC7_CC7_CC7_011620,CC7,NA,sperm,9:30,,9,14,
02-26-2020,ORANGE,01-16-2020,NA,O_CC7_CC7_CC7_011620,CC7,NA,sperm,9:30,,9,14,
02-27-2020,ORANGE,11-20-2019,NA,O_CC7x3(FROM112119)_112019,CC7,NA,sperm,NA,,10,14,
02-27-2020,ORANGE,01-16-2020,NA,O_CC7_CC7_CC7_011620,CC7,NA,sperm,NA,,10,14,
02-27-2020,ORANGE,02-12-2020,09-16-2020,O_CC7x4_021220,CC7,NA,sperm,NA,,10,14,
03-03-2020,GREEN,11-27-2019,NA,G_CC7_CC7_CC7_112719,CC7,NA,sperm,9:40,,9,10,
03-03-2020,GREEN,11-27-2019,09-15-2020,G_CC7x3(FROM1121)_112719,CC7,NA,sperm,9:40,,9,10,
03-03-2020,GREEN,08-12-2019,05-18-2020,G_CC7_CC7_CC7_081219,CC7,NA,sperm,9:40,,9,10,
03-03-2020,GREEN,02-12-2020,04-20-2020,G_H2_H2_H2_H2_021220,NA,H2,eggs,9:40,,9,10,
03-03-2020,GREEN,02-19-2020,05-18-2020,G_H2_H2_H2_021920,NA,H2,eggs,9:40,,9,10,
03-03-2020,GREEN,02-19-2020,05-18-2020,G_H2_H2_021920,NA,H2,eggs,9:40,,9,10,
03-04-2020,GREEN,02-19-2020,NA,G_CC7x3_021920,CC7,NA,sperm,9:30,,10,10,
03-04-2020,GREEN,02-12-2020,09-15-2020,G_CC7x4_021220,CC7,NA,sperm,9:30,,10,10,
03-04-2020,GREEN,08-12-2019,05-18-2020,G_CC7_CC7_CC7_081219,CC7,NA,sperm,9:30,,10,10,
03-04-2020,GREEN,11-27-2019,09-15-2020,G_CC7x3(FROM1121)_112719,CC7,NA,sperm,9:30,,10,14,
03-05-2020,ORANGE,02-12-2020,NA,O_CC7_CC7_CC7_CC7_021220,CC7,NA,sperm,9:30,,17,10,
03-10-2020,YELLOW,02-26-2020,09-15-20,Y_CC7x3_022620,CC7,NA,sperm,9:22,,7,10,
03-10-2020,YELLOW,02-26-2020,NA,Y_H2_H2_H2_022620,NA,H2,eggs,9:22,,7,10,
03-10-2020,YELLOW,01-29-2020,07-13-2020,Y_CC7x5_012920,CC7,NA,sperm,9:22,,7,10,
03-10-2020,YELLOW,01-29-2020,NA,Y_CC7x3_012920,CC7,NA,sperm,9:22,,7,10,
03-10-2020,YELLOW,12-04-2019,05-18-20,Y_PLF3_PLF3_PLF3_PLF3_120419,NA,PLF3,eggs,9:45,,7,10,
03-10-2020,YELLOW,12-04-2019,NA,Y_CC7_CC7_120419,CC7,NA,sperm,9:22,,7,10,
03-10-2020,YELLOW,11-27-2019,NA,Y_CC7x4(FROM031619)_120419,CC7,NA,sperm,9:22,,7,10,
03-10-2020,YELLOW,08-19-2019,NA,Y_PLF3_PLF3_PLF3_081919,NA,PLF3,eggs,9:45,,7,10,
03-10-2020,YELLOW,08-19-2019,NA,Y_PLF3_PLF3A_081919,NA,PLF3,eggs,9:22,,7,10,
